[01:26:50.647] [INFO] ============================================================
[01:26:50.647] [INFO] 🎓 Dil Evi — English Lesson (DEBUG MODE)
[01:26:50.648] [INFO] ============================================================
[01:26:50.648] [INFO] Log file: debug_20260419_012650.log
[01:26:50.648] [INFO] Teacher: Amelia
[01:26:50.650] [INFO] Level: A2
[01:26:54.261] [DEBUG] VAD: is_speech=False, energy=0.0194, is_playing=False
[01:26:54.292] [DEBUG] VAD: is_speech=False, energy=0.0204, is_playing=False
[01:26:54.322] [DEBUG] VAD: is_speech=False, energy=0.0192, is_playing=False
[01:26:54.353] [DEBUG] VAD: is_speech=False, energy=0.0199, is_playing=False
[01:26:54.384] [DEBUG] VAD: is_speech=False, energy=0.0197, is_playing=False
[01:26:54.414] [DEBUG] VAD: is_speech=False, energy=0.0201, is_playing=False
[01:26:54.445] [DEBUG] VAD: is_speech=False, energy=0.0198, is_playing=False
[01:26:54.475] [DEBUG] VAD: is_speech=False, energy=0.0192, is_playing=False
[01:26:54.506] [DEBUG] VAD: is_speech=False, energy=0.0169, is_playing=False
[01:26:54.536] [DEBUG] VAD: is_speech=False, energy=0.0213, is_playing=False
[01:26:54.567] [DEBUG] VAD: is_speech=False, energy=0.0212, is_playing=False
[01:26:54.597] [DEBUG] VAD: is_speech=False, energy=0.0213, is_playing=False
[01:26:54.617] [DEBUG] VAD: is_speech=False, energy=0.0197, is_playing=False
[01:26:54.648] [DEBUG] VAD: is_speech=False, energy=0.0176, is_playing=False
[01:26:54.678] [DEBUG] VAD: is_speech=False, energy=0.0179, is_playing=False
[01:26:54.708] [DEBUG] VAD: is_speech=False, energy=0.0175, is_playing=False
[01:26:54.739] [DEBUG] VAD: is_speech=False, energy=0.0171, is_playing=False
[01:26:54.770] [DEBUG] VAD: is_speech=False, energy=0.0183, is_playing=False
[01:26:54.799] [DEBUG] VAD: is_speech=False, energy=0.0189, is_playing=False
[01:26:54.831] [DEBUG] VAD: is_speech=False, energy=0.0201, is_playing=False
[01:26:54.861] [DEBUG] VAD: is_speech=False, energy=0.0175, is_playing=False
[01:26:54.892] [DEBUG] VAD: is_speech=False, energy=0.0196, is_playing=False
[01:26:54.922] [DEBUG] VAD: is_speech=False, energy=0.0173, is_playing=False
[01:26:54.953] [DEBUG] VAD: is_speech=False, energy=0.0200, is_playing=False
[01:26:54.983] [DEBUG] VAD: is_speech=False, energy=0.0197, is_playing=False
[01:26:55.013] [DEBUG] VAD: is_speech=False, energy=0.0186, is_playing=False
[01:26:55.044] [DEBUG] VAD: is_speech=False, energy=0.0172, is_playing=False
[01:26:55.075] [DEBUG] VAD: is_speech=False, energy=0.0196, is_playing=False
[01:26:55.105] [DEBUG] VAD: is_speech=False, energy=0.0188, is_playing=False
[01:26:55.135] [DEBUG] VAD: is_speech=False, energy=0.0188, is_playing=False
[01:26:55.165] [DEBUG] VAD: is_speech=False, energy=0.0175, is_playing=False
[01:26:55.196] [DEBUG] VAD: is_speech=False, energy=0.0184, is_playing=False
[01:26:55.227] [DEBUG] VAD: is_speech=False, energy=0.0188, is_playing=False
[01:26:55.257] [DEBUG] VAD: is_speech=False, energy=0.0182, is_playing=False
[01:26:55.278] [DEBUG] VAD: is_speech=False, energy=0.0212, is_playing=False
[01:26:55.308] [DEBUG] VAD: is_speech=False, energy=0.0206, is_playing=False
[01:26:55.339] [DEBUG] VAD: is_speech=False, energy=0.0195, is_playing=False
[01:26:55.369] [DEBUG] VAD: is_speech=False, energy=0.0175, is_playing=False
[01:26:55.399] [DEBUG] VAD: is_speech=False, energy=0.0176, is_playing=False
[01:26:55.430] [DEBUG] VAD: is_speech=False, energy=0.0193, is_playing=False
[01:26:55.461] [DEBUG] VAD: is_speech=False, energy=0.0206, is_playing=False
[01:26:55.491] [DEBUG] VAD: is_speech=False, energy=0.0200, is_playing=False
[01:26:55.520] [DEBUG] VAD: is_speech=False, energy=0.0183, is_playing=False
[01:26:55.552] [DEBUG] VAD: is_speech=False, energy=0.0187, is_playing=False
[01:26:55.582] [DEBUG] VAD: is_speech=False, energy=0.0183, is_playing=False
[01:26:55.613] [DEBUG] VAD: is_speech=False, energy=0.0195, is_playing=False
[01:26:55.642] [DEBUG] VAD: is_speech=False, energy=0.0186, is_playing=False
[01:26:55.674] [DEBUG] VAD: is_speech=False, energy=0.0182, is_playing=False
[01:26:55.704] [DEBUG] VAD: is_speech=False, energy=0.0179, is_playing=False
[01:26:55.734] [DEBUG] VAD: is_speech=False, energy=0.0186, is_playing=False
[01:26:55.765] [DEBUG] VAD: is_speech=False, energy=0.0175, is_playing=False
[01:26:55.796] [DEBUG] VAD: is_speech=False, energy=0.0190, is_playing=False
[01:26:55.826] [DEBUG] VAD: is_speech=False, energy=0.0176, is_playing=False
[01:26:55.857] [DEBUG] VAD: is_speech=False, energy=0.0190, is_playing=False
[01:26:55.887] [DEBUG] VAD: is_speech=False, energy=0.0199, is_playing=False
[01:26:55.907] [DEBUG] VAD: is_speech=False, energy=0.0185, is_playing=False
[01:26:55.938] [DEBUG] VAD: is_speech=False, energy=0.0167, is_playing=False
[01:26:55.967] [DEBUG] VAD: is_speech=False, energy=0.0181, is_playing=False
[01:26:55.999] [DEBUG] VAD: is_speech=False, energy=0.0194, is_playing=False
[01:26:56.029] [DEBUG] VAD: is_speech=False, energy=0.0189, is_playing=False
[01:26:56.060] [DEBUG] VAD: is_speech=False, energy=0.0175, is_playing=False
[01:26:56.090] [DEBUG] VAD: is_speech=False, energy=0.0211, is_playing=False
[01:26:56.121] [DEBUG] VAD: is_speech=False, energy=0.0202, is_playing=False
[01:26:56.151] [DEBUG] VAD: is_speech=False, energy=0.0201, is_playing=False
[01:26:56.181] [DEBUG] VAD: is_speech=False, energy=0.0202, is_playing=False
[01:26:56.212] [DEBUG] VAD: is_speech=False, energy=0.0191, is_playing=False
[01:26:56.243] [DEBUG] VAD: is_speech=False, energy=0.0204, is_playing=False
[01:26:56.272] [DEBUG] VAD: is_speech=False, energy=0.0202, is_playing=False
[01:26:56.304] [DEBUG] VAD: is_speech=False, energy=0.0205, is_playing=False
[01:26:56.334] [DEBUG] VAD: is_speech=False, energy=0.0205, is_playing=False
[01:26:56.365] [DEBUG] VAD: is_speech=False, energy=0.0213, is_playing=False
[01:26:56.395] [DEBUG] VAD: is_speech=False, energy=0.0205, is_playing=False
[01:26:56.426] [DEBUG] VAD: is_speech=False, energy=0.0184, is_playing=False
[01:26:56.456] [DEBUG] VAD: is_speech=False, energy=0.0194, is_playing=False
[01:26:56.486] [DEBUG] VAD: is_speech=False, energy=0.0178, is_playing=False
[01:26:56.517] [DEBUG] VAD: is_speech=False, energy=0.0207, is_playing=False
[01:26:56.537] [DEBUG] VAD: is_speech=False, energy=0.0201, is_playing=False
[01:26:56.568] [DEBUG] VAD: is_speech=False, energy=0.0198, is_playing=False
[01:26:56.598] [DEBUG] VAD: is_speech=False, energy=0.0206, is_playing=False
[01:26:56.629] [DEBUG] VAD: is_speech=False, energy=0.0214, is_playing=False
[01:26:56.658] [DEBUG] VAD: is_speech=False, energy=0.0196, is_playing=False
[01:26:56.689] [DEBUG] VAD: is_speech=False, energy=0.0183, is_playing=False
[01:26:56.719] [DEBUG] VAD: is_speech=False, energy=0.0173, is_playing=False
[01:26:56.750] [DEBUG] VAD: is_speech=False, energy=0.0193, is_playing=False
[01:26:56.781] [DEBUG] VAD: is_speech=False, energy=0.0172, is_playing=False
[01:26:56.812] [DEBUG] VAD: is_speech=False, energy=0.0175, is_playing=False
[01:26:56.842] [DEBUG] VAD: is_speech=False, energy=0.0175, is_playing=False
[01:26:56.873] [DEBUG] VAD: is_speech=False, energy=0.0188, is_playing=False
[01:26:56.903] [DEBUG] VAD: is_speech=False, energy=0.0177, is_playing=False
[01:26:56.933] [DEBUG] VAD: is_speech=False, energy=0.0188, is_playing=False
[01:26:56.963] [DEBUG] VAD: is_speech=False, energy=0.0186, is_playing=False
[01:26:56.994] [DEBUG] VAD: is_speech=False, energy=0.0194, is_playing=False
[01:26:57.024] [DEBUG] VAD: is_speech=False, energy=0.0177, is_playing=False
[01:26:57.055] [DEBUG] VAD: is_speech=False, energy=0.0189, is_playing=False
